index,x,y,z,HoldTime,GimbalPitch
1,5.5,3.0,0.5,0.5,-45.0
2,5.213640064133025,4.161807930109422,0.5565195675164356,0.5,-45.0
3,4.42016186682789,5.057459664734141,0.6130391350328712,0.5,-45.0
4,3.3013417006383077,5.481772185245135,0.6695587025493068,0.5,-45.0
5,2.113487782393661,5.337540606713537,0.7260782700657423,0.5,-45.0
6,1.128723129572247,4.657806645601988,0.7825978375821779,0.5,-45.0
7,0.57264545643487,3.5982891607188945,0.8391174050986135,0.5,-45.0
8,0.5726454564348695,2.4017108392811064,0.895636972615049,0.5,-45.0
9,1.1287231295722475,1.3421933543980118,0.9521565401314847,0.5,-45.0
10,2.11348778239366,0.6624593932864631,1.0086761076479203,0.5,-45.0
11,3.301341700638308,0.5182278147548649,1.0651956751643559,0.5,-45.0
12,4.420161866827889,0.9425403352658588,1.1217152426807915,0.5,-45.0
13,5.213640064133025,1.838192069890579,1.178234810197227,0.5,-45.0
14,5.5,2.9999999999999996,1.2347543777136627,0.5,-45.0
15,5.213640064133026,4.16180793010942,1.291273945230098,0.5,-45.0
16,4.4201618668278915,5.057459664734139,1.3477935127465337,0.5,-45.0
17,3.3013417006383072,5.481772185245135,1.4043130802629693,0.5,-45.0
18,2.113487782393661,5.337540606713537,1.460832647779405,0.5,-45.0
19,1.1287231295722482,4.657806645601989,1.5173522152958405,0.5,-45.0
20,0.5726454564348704,3.598289160718897,1.5738717828122761,0.5,-45.0
21,0.5726454564348704,2.4017108392811046,1.6303913503287117,0.5,-45.0
22,1.128723129572247,1.3421933543980122,1.6869109178451474,0.5,-45.0
23,2.1134877823936598,0.6624593932864635,1.7434304853615827,0.5,-45.0
24,3.301341700638305,0.5182278147548649,1.7999500528780183,0.5,-45.0
25,4.420161866827891,0.9425403352658597,1.8564696203944542,0.5,-45.0
26,5.213640064133025,1.8381920698905785,1.9129891879108896,0.5,-45.0
27,5.5,2.9999999999999987,1.9695087554273252,0.5,-45.0
28,5.213640064133024,4.161807930109424,2.026028322943761,0.5,-45.0
29,4.420161866827892,5.057459664734139,2.082547890460196,0.5,-45.0
30,3.3013417006383077,5.481772185245135,2.139067457976632,0.5,-45.0
31,2.113487782393666,5.337540606713539,2.1955870254930674,0.5,-45.0
32,1.1287231295722486,4.6578066456019895,2.252106593009503,0.5,-45.0
33,0.5726454564348695,3.598289160718893,2.3086261605259386,0.5,-45.0
34,0.5726454564348691,2.40171083928111,2.365145728042374,0.5,-45.0
35,1.1287231295722466,1.3421933543980127,2.42166529555881,0.5,-45.0
36,2.1134877823936633,0.6624593932864622,2.4781848630752457,0.5,-45.0
37,3.3013417006383046,0.5182278147548645,2.534704430591681,0.5,-45.0
38,4.42016186682789,0.9425403352658592,2.591223998108117,0.5,-45.0
39,5.213640064133022,1.838192069890574,2.6477435656245523,0.5,-45.0
40,5.5,2.9999999999999982,2.7042631331409877,0.5,-45.0
41,5.213640064133024,4.161807930109423,2.7607827006574235,0.5,-45.0
